dataset,model,number_of_debate_cases,total_cases,average_overall_latency,average_debate_latency,average_tree_latency,average_f1,average_bert_score,average_rogue_score,average_bleurt_score,average_llm_critic_score
hotpotqa,qwen2.5:3b,10,10,37.14229071645532,30.64184328709962,6.3488740044937,0.1286715359105227,0.8223280906677246,0.11953311394487864,-0.5983362838625907,0
science_qa,qwen2.5:3b,93,93,198.83199280376235,192.81430625471836,5.869624131451792,0.385705586142329,0.8811840139409547,0.2589436996231965,0.03436909222434605,0
finqa,qwen2.5:3b,133,133,36.52718163999253,30.520420736773726,5.852857880700464,0.29051634121018866,0.866257705634698,0.25717222196462186,-0.33759287069726707,0
squad,qwen2.5:3b,25,25,111.9733183350414,107.18237747079228,4.602456987206824,0.15616892092053886,0.8350780892372132,0.1510535871481715,-0.3849353140965104,0
hotpotqa,gemma:2b,10,10,27.59273710013367,21.557828517904273,5.889577800408006,0.06426470588235295,0.8096337139606475,0.10579131652661064,-0.7451398193836212,0
science_qa,gemma:2b,94,94,116.60921077750267,110.84914479949796,5.61335275948055,0.3609228564316596,0.885164553180654,0.2814366021306718,-0.1759293586947024,0
finqa,gemma:2b,136,136,28.401062339138555,22.358041347035716,5.949672815602218,0.3251538226169894,0.8702559953226763,0.29062521137215036,-0.36131881386288167,0
squad,gemma:2b,25,25,70.22413023675792,65.3966579966899,4.62756791497115,0.2312167712934976,0.8497752189636231,0.2159337994025993,-0.49692324459552767,0
hotpotqa,phi3:3.8b,10,10,46.712412346038036,40.4974561651994,6.061638482302078,0.05951300094525049,0.8051462829113006,0.05771549225809817,-0.656036876142025,0
science_qa,phi3:3.8b,85,85,207.3106486838996,201.7932423233883,5.27941059136451,0.2954231805459056,0.8653029329636518,0.18267528881651773,-0.07247023625189768,0
finqa,phi3:3.8b,108,108,48.46825926087546,42.792461593176455,5.521480588768167,0.1833302045106979,0.8425835012285797,0.14887246146288147,-0.7346555491288503,0
squad,phi3:3.8b,25,25,147.80696854510344,143.0064676882839,4.598716156575829,0.0821031502383555,0.8196679019927978,0.06702174205966886,-0.4705381221324205,0
